,Number,Name,Address,Latitude,Longitude,Banking,Bonus,Status,Bike_stands,Available_bike_stands,Available_bikes,Last_update,Clock
46,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522282988000,0
47,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522283599000,0
48,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522284208000,0
49,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522284817000,0
50,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522285426000,0
51,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522286036000,0
52,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522286645000,0
53,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522287254000,0
54,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522287863000,0
55,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522288177000,0
56,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522288250000,0
57,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522288860000,0
58,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522289470000,0
59,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522290079000,0
60,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522290689000,0
61,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522291298000,0
62,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522291907000,0
63,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522292516000,0
64,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522293126000,0
65,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522293735000,0
66,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522294344000,0
67,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522294953000,0
68,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522295562000,0
69,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522296020000,0
70,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522296631000,0
71,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522297240000,0
72,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522297850000,0
73,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522298459000,0
74,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522299068000,0
75,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522299677000,0
76,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522300287000,0
77,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522300896000,0
78,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522301505000,0
79,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522302034000,0
80,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522302265000,0
81,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522302613000,0
82,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522303223000,0
83,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522303832000,0
84,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522304441000,0
85,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522305051000,0
86,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522305660000,0
87,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522306285000,0
88,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522306442000,0
89,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522306886000,0
90,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522307144000,0
91,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,18,2,1522307685000,0
92,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,18,2,1522307833000,0
93,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522308536000,0
94,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522308988000,0
95,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522309222000,0
96,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,18,2,1522309593000,0
97,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,17,3,1522309863000,0
98,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522310031000,0
99,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522310640000,0
100,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522311065000,0
101,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522311675000,0
102,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522312284000,0
103,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522312893000,0
104,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522313502000,0
105,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522314111000,0
106,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522314720000,0
107,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522315406000,0
108,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522315829000,0
109,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522315857000,0
110,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522316467000,0
111,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522317081000,0
112,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522317555000,0
113,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522317767000,0
114,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522318260000,0
115,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522318428000,0
116,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522319037000,0
117,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522319647000,0
118,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522319838000,0
119,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522320447000,0
120,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522321056000,0
121,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522321586000,0
122,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,18,2,1522321740000,0
123,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,18,2,1522322349000,0
124,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,18,2,1522322959000,0
125,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,18,2,1522323568000,0
126,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,18,2,1522324177000,0
127,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,18,2,1522324458000,0
128,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522325067000,0
129,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522325722000,0
130,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,20,0,1522326332000,0
131,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522326663000,0
132,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,18,2,1522326784000,0
133,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,18,2,1522327394000,0
134,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,18,2,1522328004000,0
135,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,17,3,1522328437000,0
136,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,17,3,1522329055000,0
137,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,18,2,1522329386000,0
138,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,18,2,1522329403000,0
139,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522330013000,0
140,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522330462000,0
141,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,18,2,1522331043000,0
142,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,18,2,1522331398000,0
143,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522332006000,0
144,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522332615000,0
145,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522333224000,0
146,17,'GOLDEN LANE','Golden Lane',53.34080124,-6.26773214,'False','False','OPEN',20,19,1,1522333834000,0
